Observation type,Sum,HOLC Polygon
other,0,AR_Little Rock_D2_D_169_Aves_all_observations
ebird,169,AR_Little Rock_D3_D_170_Aves_all_observations
other,0,AR_Little Rock_D3_D_170_Aves_all_observations
iNaturalist,0,AR_Little Rock_D3_D_170_Aves_all_observations
ebird,76,AR_Little Rock_D4_D_171_Aves_all_observations
other,0,AR_Little Rock_D4_D_171_Aves_all_observations
iNaturalist,0,AR_Little Rock_D4_D_171_Aves_all_observations
ebird,2,AR_Little Rock_D6_D_174_Aves_all_observations
other,0,AR_Little Rock_D6_D_174_Aves_all_observations
iNaturalist,0,AR_Little Rock_D6_D_174_Aves_all_observations
ebird,13,AR_Little Rock_D7_D_175_Aves_all_observations
other,0,AR_Little Rock_D7_D_175_Aves_all_observations
iNaturalist,0,AR_Little Rock_D7_D_175_Aves_all_observations
ebird,60,AR_Little Rock_D8_D_176_Aves_all_observations
other,0,AR_Little Rock_D8_D_176_Aves_all_observations
iNaturalist,0,AR_Little Rock_D8_D_176_Aves_all_observations
ebird,181,AZ_Phoenix_A1_A_177_Aves_all_observations
iNaturalist,8,AZ_Phoenix_A1_A_177_Aves_all_observations
other,0,AZ_Phoenix_A1_A_177_Aves_all_observations
ebird,1028,AZ_Phoenix_A2_A_178_Aves_all_observations
other,0,AZ_Phoenix_A2_A_178_Aves_all_observations
iNaturalist,0,AZ_Phoenix_A2_A_178_Aves_all_observations
ebird,149,AZ_Phoenix_A3_A_179_Aves_all_observations
iNaturalist,8,AZ_Phoenix_A3_A_179_Aves_all_observations
other,0,AZ_Phoenix_A3_A_179_Aves_all_observations
ebird,1,AZ_Phoenix_A4_A_180_Aves_all_observations
other,0,AZ_Phoenix_A4_A_180_Aves_all_observations
iNaturalist,0,AZ_Phoenix_A4_A_180_Aves_all_observations
ebird,266,AZ_Phoenix_A5_A_181_Aves_all_observations
other,0,AZ_Phoenix_A5_A_181_Aves_all_observations
iNaturalist,0,AZ_Phoenix_A5_A_181_Aves_all_observations
ebird,136,AZ_Phoenix_B1_B_182_Aves_all_observations
iNaturalist,2,AZ_Phoenix_B1_B_182_Aves_all_observations
other,0,AZ_Phoenix_B1_B_182_Aves_all_observations
ebird,51,AZ_Phoenix_B2_B_183_Aves_all_observations
other,0,AZ_Phoenix_B2_B_183_Aves_all_observations
iNaturalist,0,AZ_Phoenix_B2_B_183_Aves_all_observations
ebird,91,AZ_Phoenix_B3_B_184_Aves_all_observations
iNaturalist,2,AZ_Phoenix_B3_B_184_Aves_all_observations
other,0,AZ_Phoenix_B3_B_184_Aves_all_observations
ebird,915,AZ_Phoenix_B4_B_185_Aves_all_observations
other,0,AZ_Phoenix_B4_B_185_Aves_all_observations
iNaturalist,0,AZ_Phoenix_B4_B_185_Aves_all_observations
ebird,68,AZ_Phoenix_B5_B_186_Aves_all_observations
other,0,AZ_Phoenix_B5_B_186_Aves_all_observations
iNaturalist,0,AZ_Phoenix_B5_B_186_Aves_all_observations
ebird,102,AZ_Phoenix_B6_B_187_Aves_all_observations
iNaturalist,4,AZ_Phoenix_B6_B_187_Aves_all_observations
other,0,AZ_Phoenix_B6_B_187_Aves_all_observations
ebird,354,AZ_Phoenix_B7_B_188_Aves_all_observations
other,0,AZ_Phoenix_B7_B_188_Aves_all_observations
iNaturalist,0,AZ_Phoenix_B7_B_188_Aves_all_observations
ebird,67,AZ_Phoenix_B8_B_189_Aves_all_observations
other,0,AZ_Phoenix_B8_B_189_Aves_all_observations
iNaturalist,0,AZ_Phoenix_B8_B_189_Aves_all_observations
ebird,387,AZ_Phoenix_C1_C_190_Aves_all_observations
iNaturalist,4,AZ_Phoenix_C1_C_190_Aves_all_observations
other,0,AZ_Phoenix_C1_C_190_Aves_all_observations
ebird,586,AZ_Phoenix_C2_C_191_Aves_all_observations
iNaturalist,12,AZ_Phoenix_C2_C_191_Aves_all_observations
other,13,AZ_Phoenix_C2_C_191_Aves_all_observations
ebird,424,AZ_Phoenix_C3_C_192_Aves_all_observations
iNaturalist,3,AZ_Phoenix_C3_C_192_Aves_all_observations
other,0,AZ_Phoenix_C3_C_192_Aves_all_observations
ebird,1130,AZ_Phoenix_C4_C_193_Aves_all_observations
iNaturalist,1,AZ_Phoenix_C4_C_193_Aves_all_observations
other,0,AZ_Phoenix_C4_C_193_Aves_all_observations
ebird,2,AZ_Phoenix_D1_D_194_Aves_all_observations
iNaturalist,1,AZ_Phoenix_D1_D_194_Aves_all_observations
other,0,AZ_Phoenix_D1_D_194_Aves_all_observations
ebird,349,AZ_Phoenix_D2_D_195_Aves_all_observations
iNaturalist,1,AZ_Phoenix_D2_D_195_Aves_all_observations
other,0,AZ_Phoenix_D2_D_195_Aves_all_observations
ebird,6,AZ_Phoenix_D3_D_196_Aves_all_observations
other,0,AZ_Phoenix_D3_D_196_Aves_all_observations
iNaturalist,0,AZ_Phoenix_D3_D_196_Aves_all_observations
ebird,95,AZ_Phoenix_D4_D_197_Aves_all_observations
other,0,AZ_Phoenix_D4_D_197_Aves_all_observations
iNaturalist,0,AZ_Phoenix_D4_D_197_Aves_all_observations
ebird,190,AZ_Phoenix_D5_D_198_Aves_all_observations
other,0,AZ_Phoenix_D5_D_198_Aves_all_observations
iNaturalist,0,AZ_Phoenix_D5_D_198_Aves_all_observations
ebird,36,AZ_Phoenix_D6_D_199_Aves_all_observations
iNaturalist,2,AZ_Phoenix_D6_D_199_Aves_all_observations
other,0,AZ_Phoenix_D6_D_199_Aves_all_observations
iNaturalist,3,AZ_Phoenix_D7_D_200_Aves_all_observations
other,0,AZ_Phoenix_D7_D_200_Aves_all_observations
ebird,0,AZ_Phoenix_D7_D_200_Aves_all_observations
ebird,3,AZ_Phoenix_D8_D_201_Aves_all_observations
other,0,AZ_Phoenix_D8_D_201_Aves_all_observations
iNaturalist,0,AZ_Phoenix_D8_D_201_Aves_all_observations
ebird,126,CA_Fresno_A1_A_202_Aves_all_observations
other,0,CA_Fresno_A1_A_202_Aves_all_observations
iNaturalist,0,CA_Fresno_A1_A_202_Aves_all_observations
ebird,14,CA_Fresno_A2_A_203_Aves_all_observations
other,0,CA_Fresno_A2_A_203_Aves_all_observations
iNaturalist,0,CA_Fresno_A2_A_203_Aves_all_observations
ebird,27,CA_Fresno_B1_B_204_Aves_all_observations
other,0,CA_Fresno_B1_B_204_Aves_all_observations
iNaturalist,0,CA_Fresno_B1_B_204_Aves_all_observations
ebird,520,CA_Fresno_B2_B_205_Aves_all_observations
iNaturalist,2,CA_Fresno_B2_B_205_Aves_all_observations
other,0,CA_Fresno_B2_B_205_Aves_all_observations
ebird,1056,CA_Fresno_B4_B_210_Aves_all_observations
iNaturalist,1,CA_Fresno_B4_B_210_Aves_all_observations
other,0,CA_Fresno_B4_B_210_Aves_all_observations
iNaturalist,1,CA_Fresno_B5_B_211_Aves_all_observations
other,0,CA_Fresno_B5_B_211_Aves_all_observations
ebird,0,CA_Fresno_B5_B_211_Aves_all_observations
ebird,230,CA_Fresno_C2_C_213_Aves_all_observations
iNaturalist,1,CA_Fresno_C2_C_213_Aves_all_observations
other,0,CA_Fresno_C2_C_213_Aves_all_observations
ebird,583,CA_Fresno_C3_C_214_Aves_all_observations
iNaturalist,3,CA_Fresno_C3_C_214_Aves_all_observations
other,0,CA_Fresno_C3_C_214_Aves_all_observations
ebird,762,CA_Fresno_C4_C_215_Aves_all_observations
other,0,CA_Fresno_C4_C_215_Aves_all_observations
iNaturalist,0,CA_Fresno_C4_C_215_Aves_all_observations
ebird,606,CA_Fresno_C4_C_216_Aves_all_observations
iNaturalist,12,CA_Fresno_C4_C_216_Aves_all_observations
other,1,CA_Fresno_C4_C_216_Aves_all_observations
ebird,5,CA_Fresno_C5_C_218_Aves_all_observations
other,0,CA_Fresno_C5_C_218_Aves_all_observations
iNaturalist,0,CA_Fresno_C5_C_218_Aves_all_observations
ebird,6,CA_Fresno_C6_C_219_Aves_all_observations
other,0,CA_Fresno_C6_C_219_Aves_all_observations
iNaturalist,0,CA_Fresno_C6_C_219_Aves_all_observations
