city,holc_grade,sum_area_holc_km2
Duluth,B,8.887060544701136
Duluth,C,14.334332507903376
Duluth,D,12.233180430287138
Duluth,E,0.7649854271480314
Durham,A,2.2707858982885485
Durham,B,1.2395256485277832
Durham,C,9.92701815902406
Durham,D,5.823897499342009
East St. Louis,A,3.080021629246603
East St. Louis,B,7.531322909260227
East St. Louis,C,18.444276078277593
East St. Louis,D,25.579641460079216
El Paso,A,3.0275037413771715
El Paso,B,9.202049667254512
El Paso,C,5.999106488883894
El Paso,D,7.045072887096631
Elmira,A,0.3659947344504365
Elmira,B,5.271940339518657
Elmira,C,12.012859677121334
Elmira,D,5.48238992804242
Erie,A,3.1848154658232373
Erie,B,21.27328031832128
Erie,C,19.70336453965728
Erie,D,5.61385976249994
Essex Co.,A,47.880109951875525
Essex Co.,B,121.57574136495806
Essex Co.,C,51.75749794762332
Essex Co.,D,20.98068268852139
Evansville,A,2.6860851096906897
Evansville,B,1.4908381724128417
Evansville,C,26.536489245979112
Evansville,D,14.719139162751462
Everett,C,3.0272773355502007
Everett,D,2.100086446798726
Flint,A,1.0277411560659446
Flint,B,8.908978731258166
Flint,C,20.482209758637794
Flint,D,36.08708352904908
Fort Wayne,A,1.1232185921702806
Fort Wayne,B,5.466721816807115
Fort Wayne,C,24.89116793843442
Fort Wayne,D,3.0368627321919175
Fort Worth,A,16.03266640227197
Fort Worth,B,21.452979882856567
Fort Worth,C,24.44047337432915
Fort Worth,D,47.16535468802197
Fresno,A,0.4877078343655985
Fresno,B,4.000183975442175
Fresno,C,19.094495315776793
Fresno,D,6.269897085440257
Galveston,A,2.861683870275339
Galveston,B,6.118401653287272
Galveston,C,0.4840955948511555
Galveston,D,4.545651094424352
Grand Rapids,A,6.023568401848423
Grand Rapids,B,14.806409016125007
Grand Rapids,C,77.14201204298153
Grand Rapids,D,6.445029757449748
Greater Kansas City,A,10.088874118901122
Greater Kansas City,B,16.807943134141468
Greater Kansas City,C,61.45160144143324
Greater Kansas City,D,95.63347300546414
Greensboro,A,4.6569882786514
Greensboro,B,3.599194882820663
Greensboro,C,14.341046448270616
Greensboro,D,6.051168523274826
Hamilton,A,1.0591870873390226
Hamilton,B,2.807198947206381
Hamilton,C,6.811531973529211
